id,number,departure,arrival,status,delay,aircraft_id,airport_departure_id,airport_arrival_id,fare_tariff_id
8,PG0402,2017-08-16 09:25:00.000000 +00:00,2017-08-16 10:20:00.000000 +00:00,Arrived,,13,913,209,1
47,PG0404,2017-08-15 16:05:00.000000 +00:00,2017-08-15 17:00:00.000000 +00:00,Arrived,,12,104,404,12
349,PG0202,2017-08-16 07:40:00.000000 +00:00,2017-08-16 08:35:00.000000 +00:00,Arrived,,59,78,716,8
483,PG0216,2017-08-16 11:10:00.000000 +00:00,2017-08-16 12:15:00.000000 +00:00,Arrived,,8,859,715,26
604,PG0213,2017-08-15 16:20:00.000000 +00:00,2017-08-15 17:35:00.000000 +00:00,Arrived,,73,338,847,30
659,PG0416,2017-08-15 16:20:00.000000 +00:00,2017-08-15 16:55:00.000000 +00:00,Arrived,,22,901,587,26
706,PG0055,2017-08-16 11:10:00.000000 +00:00,2017-08-16 12:25:00.000000 +00:00,Arrived,,13,668,761,29
766,PG0054,2017-08-16 14:05:00.000000 +00:00,2017-08-16 15:20:00.000000 +00:00,Arrived,,75,464,708,6
817,PG0045,2017-08-16 08:45:00.000000 +00:00,2017-08-16 10:50:00.000000 +00:00,Arrived,,41,508,838,11
898,PG0341,2017-08-16 07:50:00.000000 +00:00,2017-08-16 08:55:00.000000 +00:00,Arrived,,69,896,422,25
967,PG0368,2017-08-16 12:35:00.000000 +00:00,2017-08-16 15:50:00.000000 +00:00,Arrived,,15,999,313,28
1023,PG0335,2017-08-16 06:30:00.000000 +00:00,2017-08-16 08:35:00.000000 +00:00,Arrived,,22,765,869,18
1098,PG0517,2017-08-16 07:30:00.000000 +00:00,2017-08-16 08:50:00.000000 +00:00,Arrived,,57,550,47,15
1126,PG0136,2017-08-16 12:30:00.000000 +00:00,2017-08-16 14:30:00.000000 +00:00,Arrived,,29,850,341,11
1208,PG0134,2017-08-16 06:50:00.000000 +00:00,2017-08-16 11:55:00.000000 +00:00,Arrived,,77,198,961,12
1304,PG0168,2017-08-15 17:05:00.000000 +00:00,2017-08-16 01:55:00.000000 +00:00,Arrived,,4,483,507,12
1358,PG0164,2017-08-16 12:25:00.000000 +00:00,2017-08-16 15:35:00.000000 +00:00,Arrived,,86,212,471,28
1421,PG0509,2017-08-16 06:15:00.000000 +00:00,2017-08-16 07:45:00.000000 +00:00,Arrived,,82,823,333,23
1489,PG0210,2017-08-16 15:00:00.000000 +00:00,2017-08-16 16:50:00.000000 +00:00,Arrived,,11,210,233,1
1503,PG0210,2017-08-15 15:00:00.000000 +00:00,2017-08-15 16:50:00.000000 +00:00,Arrived,,50,129,516,2
1551,PG0124,2017-08-16 08:30:00.000000 +00:00,2017-08-16 12:20:00.000000 +00:00,Arrived,,44,345,748,24
1684,PG0095,2017-08-16 07:45:00.000000 +00:00,2017-08-16 10:00:00.000000 +00:00,Arrived,,80,838,527,21
1746,PG0239,2017-08-16 06:05:00.000000 +00:00,2017-08-16 08:40:00.000000 +00:00,Arrived,,89,534,169,8
1872,PG0541,2017-08-16 08:15:00.000000 +00:00,2017-08-16 10:25:00.000000 +00:00,Arrived,,25,24,893,12
1873,PG0542,2017-08-16 10:35:00.000000 +00:00,2017-08-16 12:45:00.000000 +00:00,Arrived,,8,362,114,30
1926,PG0639,2017-08-16 11:50:00.000000 +00:00,2017-08-16 14:55:00.000000 +00:00,Arrived,,87,334,404,16
2005,PG0289,2017-08-16 14:25:00.000000 +00:00,2017-08-16 17:10:00.000000 +00:00,Arrived,,29,242,680,14
2051,PG0019,2017-08-15 15:10:00.000000 +00:00,2017-08-15 16:30:00.000000 +00:00,Arrived,,36,906,616,18
2115,PG0220,2017-08-15 15:05:00.000000 +00:00,2017-08-15 16:35:00.000000 +00:00,Arrived,,63,924,16,19
2194,PG0645,2017-08-16 13:05:00.000000 +00:00,2017-08-16 14:05:00.000000 +00:00,Arrived,,95,109,228,7
2288,PG0605,2017-08-15 15:40:00.000000 +00:00,2017-08-15 16:35:00.000000 +00:00,Arrived,,29,849,274,1
2321,PG0208,2017-08-15 17:40:00.000000 +00:00,2017-08-16 01:40:00.000000 +00:00,Arrived,,30,689,455,28
